Package,Package Duration,City,Hotel Rating,Activity,Package Price,Days,Nights,Discount %,Activity Count,Price per Day,Final Price,Package Type
Best 5 Night 6 Day Leh Ladakh Tour Package For A Fun Filled Vacay,6 Days & 5 Nights,Leh Nubra Valley,3.0,Nature Road  Trip Adventure Campinglandscape Ideal for friends Budget,28110.0,6.0,5.0,22.0,9,4685.0,21925.8,Budget
Postcard-Perfect Sikkim Gangtok Lachung Honeymoon Packages,5 Days & 4 Nights,Gangtok Lachung,3.0,Adventure Northeast Hill station Hills Nature Waterfallsshopping Romantic Budget,24000.0,5.0,4.0,8.0,9,4800.0,22080.0,Budget
Best Selling Kerala Houseboat & Jungle Safari Tour Package,5 Days & 4 Nights,Munnar Thekkady Alleppey,3.0,Best  Selling Private  Cab Wildlife safari Backwaters Hills,24604.0,5.0,4.0,19.0,8,4920.8,19929.24,Budget
Go on an excursion to Shillong to witness the best of natural attraction,6 Days & 5 Nights,Kaziranga Shillong Guwahati,2.0,Kaziranga  National  Park Adventure Elephant  Safari Wildlife Umiam  Lake Nature Seven  Sisters  Falls Family Ideal for families Shopping Budget,28160.0,6.0,5.0,13.0,19,4693.333333333333,24499.2,Budget
Top 5 Nights 6 Days Kerala Family Tour Packages For A Refreshing Getaway,6 Days & 5 Nights,Munnar Thekkady Alleppey Kochi,3.0,Pocket-friendly Houseboat Cruises Scenic  Routes Hill station Private  Transfers Wildlife Backwaters Nature Adventure Sightseeing,29674.0,6.0,5.0,18.0,14,4945.666666666667,24332.68,Budget
Exciting Goa Tour Packages For A Perfect Getaway,3 Days & 2 Nights,Goa,3.0,Beach vacation  Adventure Nightlife Nature Shopping Beach Water  Activities Sightseeing Budget,15615.0,3.0,2.0,7.0,11,5205.0,14521.949999999999,Budget
Discover Our Beautiful 4 Nights 5 Days Andaman Family Tour Packages,5 Days & 4 Nights,Port Blair Havelock,3.0,Watersports Beach  Vacation Light &  Sound  Show Swimming Sightseeing Ferry ride Nature Water  Activities Best sellers Budget,23574.0,5.0,4.0,19.0,17,4714.8,19094.940000000002,Budget
4 Nights 5 Days Sikkim Family Tour Package,5 Days & 4 Nights,Gangtok Lachung,2.0,Historical Himalayas Adventure Private  Transfers Hill station Nature Religious Sightseeing Budget,26400.0,5.0,4.0,17.0,11,5280.0,21912.0,Budget
Best Selling Shimla Honeymoon Tour Packages For A Wonderful Vacation,3 Days & 2 Nights,Shimla,2.0,Adventure Hill  Station Nature Scenic  Landscapes Sightseeing Romantic Budget,10543.0,3.0,2.0,15.0,9,3514.3333333333335,8961.55,Budget
Jammu Kashmir Family Package,7 Days & 6 Nights,Katra Pahalgam Srinagar Gulmarg,2.0,Vaishno  Devi Nature Patnitop Religious Shikara  Ride Hill station Gondola  Ride Lakes Thajiwas  Glacier Family Budget,26910.0,7.0,6.0,7.0,16,3844.285714285714,25026.3,Budget
Udaipur: More Than The Just âThe City Of Lakesâ,3 Days & 2 Nights,Udaipur,2.0,City  Palace Maharana  Pratap  Memorial Best sellers Historical Jagmandir  Island Lakes Fateh  Sagar  Lake Sightseeing Lake  Pichola Moti  Mangri Sahelion ki  Bari Budget,7539.0,3.0,2.0,14.0,23,2513.0,6483.54,Budget
An Amazingly Romantic Honeymoon,7 Days & 6 Nights,Coorg Ooty Kodaikanal,4.0,Sightseeing Hill station  Arrival Water  Activities Botanical  Garden Adventure Nature Historical Waterfall Romantic,28727.0,7.0,6.0,9.0,13,4103.857142857143,26141.57,Budget
Idyllic Kerala Houseboat & Hills Family Package,7 Days & 6 Nights,Munnar Thekkady Alleppey Kovalam,3.0,Adventure Sightseeing Nature Family Waterfall Wildlife Budget,30249.0,7.0,6.0,16.0,7,4321.285714285715,25409.16,Luxury
Adventurous Family Holiday In Coorg,4 Days & 3 Nights,Coorg Mysore,3.0,Sightseeing Nature Waterfalls Adventureart gallery Historical Shopping Family Budget,16942.0,4.0,3.0,9.0,9,4235.5,15417.220000000001,Budget
Best 3N 4D Ooty Honeymoon Tour Package For A Romantic Getaway,4 Days & 3 Nights,Ooty,3.0,The  Blue  Mosque Adventure Shopping Nature Wax  World Hill station Sightseeing Budget,18827.0,4.0,3.0,10.0,12,4706.75,16944.3,Budget
Charming Kashmir Honeymoon Tour Package,6 Days & 5 Nights,Srinagar Gulmarg Pahalgam,3.0,Romantic  Stay Wildlife Unlimited adventure Adventure Houseboat  Stay Nature Valley  Walk Water  Activities Hill station Glaciers Culturallandscape Romantic Budget,26136.0,6.0,5.0,12.0,19,4356.0,22999.68,Budget
Vibrant Kochi Munnar Honeymoon Tour Package,4 Days & 3 Nights,Cochin Munnar,3.0,Scenic views Adventure Tea gardens Hill station Marine  Drive Nature Wildlife Romantic F O R E S T Budget,16190.0,4.0,3.0,10.0,19,4047.5,14571.0,Budget
Pleasurable Meghalaya Honeymoon Package,7 Days & 6 Nights,Guwahati Shillong Cherrapunjee,3.0,Nature Temple Waterfalls Hill station Lake Historical Romantic Sightseeing Budget,41208.0,7.0,6.0,9.0,10,5886.857142857143,37499.28,Luxury
Lovely Ladakh Family Package,5 Days & 4 Nights,Leh Nubra Valley Pangong,2.0,Hill station Nubra  Valley Nature Chang  La Diskit  Monastery Adventure Hunder  Monasterylandscape Camel  Safari Cultural Khardung  La Sightseeing Hemis  Monastery Thiksey  Monastery3  Idiot's  School Pangong  Tso Budget,21504.0,5.0,4.0,7.0,27,4300.8,19998.719999999998,Budget
Colorful Rajasthan Family Package,9 Days & 8 Nights,Jaipur Bikaner Jaisalmer Jodhpur Udaipur,3.0,Historical places in  Udaipur Nature Boat  Ride Historical Ancient  Forts Adventure Desert  Safari Safari Family Budget,76404.0,9.0,8.0,11.0,16,8489.333333333334,67999.56,Luxury
Best Selling Leh-Ladakh Honeymoon Tour Package,6 Days & 5 Nights,Leh Hunder,3.0,Best- Selling Adventure Nature Romantic Camping Jeep  Safari Budget,35367.0,6.0,5.0,21.0,9,5894.5,27939.93,Luxury
Best 8 Nights 9 Days Himachal Family Tour Package for a Soothing Getaway,9 Days & 8 Nights,Shimla Manali Dharamshala Dalhousie,2.0,Natural extravaganza Nature Scenic  Routes Adventure Hill station Chill and  Unwind Family Unlimited adventure Sightseeing Budget,32143.0,9.0,8.0,7.0,16,3571.4444444444443,29892.989999999998,Luxury
"Explore Darjeeling And Gangtok, The Gem Of Northeast",7 Days & 6 Nights,Gangtok Kalimpong Darjeeling,2.0,Family  Special Hill station Scenic roadtrip Religious Grand  Himalayas Nature Visit  Tsomgo  Lake Family Tiger  Hill Budget,80136.0,7.0,6.0,10.0,17,11448.0,72122.40000000001,Luxury
Exotic Andaman Honeymoon Package,6 Days & 5 Nights,Port Blair Havelock,2.0,Light and  Sound  Show Historical Ferry  Transfer Adventure Beach  Tour Water  Activities Ferry  Ridelandscape Cellular  Jail Beach Budget,24965.0,6.0,5.0,5.0,18,4160.833333333333,23716.75,Budget
Enjoy An Island Getaway With Our Andaman Honeymoon Package,6 Days & 5 Nights,Port Blair Havelock Neil Island,3.0,Best sellers Nature Ferry  Transfer Radhanagar  Beach Water  Activities Cellular  Jail  Romantic Light and  Sound  Show Adventure Snorkelling Budget,24750.0,6.0,5.0,11.0,19,4125.0,22027.5,Budget
Breathtaking Manali Tour Package From Mumbai,4 Days & 3 Nights,Manali,3.0,Manali Adventure Solang  Valley Nature Rohtang  Pass Hill station Religious Sightseeing Budget,12637.0,4.0,3.0,9.0,12,3159.25,11499.67,Budget
Summer Special Manali Honeymoon: A Superb Romantic Trip,5 Days & 4 Nights,Manali,3.0,Hill station Best sellers Adventure Nature Sightseeing Romantic Budget,17033.0,5.0,4.0,9.0,9,3406.6,15500.03,Budget
Divine Andaman Couple Tour Packages From Mumbai,6 Days & 5 Nights,Port Blair Havelock Neil Island,4.0,Island  Tours Water  Activities Adventure Beaches Nature Port Sightseeing Cellular  Jail Budget,29604.0,6.0,5.0,9.0,12,4934.0,26939.64,Budget
Blissful Leh Ladakh Honeymoon Package,5 Days & 4 Nights,Leh,2.0,Bestselling Hill station Mountain  Desert Adventure Road  Trip Naturelandscape Hills Romantic Budget,20453.0,5.0,4.0,12.0,12,4090.6,17998.64,Budget
Exotic Gangtok & Darjeeling Honeymoon Package,5 Days & 4 Nights,Darjeeling Gangtok,3.0,Honeymoon freebies Adventure Himalayas Nature Tea gardens Hill station Pocket-friendly Romantic Budget,52512.0,5.0,4.0,13.0,12,10502.4,45685.44,Luxury
Spiti Tour Package For Adventure Lovers,7 Days & 6 Nights,Manali Kaza Chandra Tal,3.0,Chandratal Nature Dhangkar  Monastery Historical Rohtang  Pass Adventure Sakya  Tangyud  Monastery Hill station Kunzum  Pass Sightseeing Camping Budget,33889.0,7.0,6.0,10.0,18,4841.285714285715,30500.100000000002,Luxury
Fascinating Uttarakhand Honeymoon Package,6 Days & 5 Nights,Mussoorie Jim Corbett Nainital,3.0,Kempty  Falls Adventure Gun  Hill Nature Jharipani  Falls Hill station Wildlife Water  Activities Romantic Sightseeing Budget,18681.0,6.0,5.0,9.0,16,3113.5,16999.71,Budget
Blissful Andaman Honeymoon Package,5 Days & 4 Nights,Port Blair Havelock Neil Island,2.0,Romantic Historical Nature Radhanagar  Beach Mud  Volcanoes Cellular  Jail landscape Island Light &  Sound  Show Sightseeing Port Budget,18914.0,5.0,4.0,8.0,18,3782.8,17400.88,Budget
Idyllic Lansdowne Tour Package For Family,2 Days & 1 Nights,Lansdowne,3.0,Adventure Jungle  Trail Nature Shopping Hill station Historical Family Trekking Budget,4120.0,2.0,1.0,9.0,11,2060.0,3749.2000000000003,Budget
Port Blair Tour Package For 2 Nights 3 Days,3 Days & 2 Nights,Port Blair,3.0,Beaches Adventure Local  Island  Tour Water  Activities Watersports Nature Sightseeing Budget,15934.0,3.0,2.0,7.0,11,5311.333333333333,14818.619999999999,Budget
Alleppey-Munnar Kerala Weekend Tour,4 Days & 3 Nights,Munnar Alleppey,3.0,Spice  Plantations Hill station Houseboat  Stay Cruises Echo  Point Adventure Tea  Museum Nature Best sellers Waterfall Budget,17132.0,4.0,3.0,24.0,17,4283.0,13020.32,Budget
Charismatic Kochi Tour Package,4 Days & 3 Nights,Kochi Munnar,3.0,Waterfalls Adventure Nature Shopping Wildlife Cultural Budget,16484.0,4.0,3.0,9.0,7,4121.0,15000.44,Budget
Magical Darjeeling & Sikkim Summer Special Honeymoon Package,6 Days & 5 Nights,Darjeeling Gangtok Lachung,3.0,Honeymoon freebies Nature Himalayas Hill station Adventure Romantic Hot  Pick Budget,28488.0,6.0,5.0,12.0,11,4748.0,25069.44,Budget
A Blissful Romantic Tour To Andaman Island,4 Days & 3 Nights,Port Blair,3.0,Cellular  Jail  Nature North  Bay  Island Water  Activities Wildlife Beach Budget,17143.0,4.0,3.0,9.0,11,4285.75,15600.130000000001,Budget
Mystique Andaman Honeymoon Package,4 Days & 3 Nights,Port Blair Havelock,3.0,Sightseeing Nature Hill station Adventure Water  Activities Romantic Budget,21945.0,4.0,3.0,9.0,9,5486.25,19969.95,Budget
Best Selling Weeklong Goa Tour Packages For A Fun-Filled Vacay,6 Days & 5 Nights,Goa,3.0,Waterfalls Nature Spice plantations Adventure Historical  Sites Water  Activities Beaches Nightlife Budget,17608.0,6.0,5.0,8.0,12,2934.6666666666665,16199.36,Budget
Romantic Escapade To Kashmir,6 Days & 5 Nights,Pahalgam Srinagar Gulmarg,2.0,Water  Activities Night at  Houseboat Nature Shikara  Ride Adventure Gondola  Ride Romantic Mughal  Gardens Budget,24157.0,6.0,5.0,11.0,15,4026.1666666666665,21499.73,Budget
Extravagant Port Blair Sightseeing Tour Packages,4 Days & 3 Nights,Port Blair,3.0,Port  Blair Adventure Nature Cellular  Jail  Water  Activities Beachshopping Budget,13846.0,4.0,3.0,9.0,10,3461.5,12599.86,Budget
Splendid Kodaikanal Honeymoon Tour Package,6 Days & 5 Nights,Ooty Kodaikanal,4.0,Sightseeing Hill station  Arrival Water  Activities Nilgiri  Tahrs Adventure Nature Romantic Waterfall,27473.0,6.0,5.0,9.0,12,4578.833333333333,25000.43,Budget
Mesmerizing Leh Ladakh Family Tour Package,5 Days & 4 Nights,Leh,2.0,Ideal for families Hill station Adventure Picturesque sights Nature Grand  Himalayas Family Mountain  Desert Luxury Sightseeing Budget,19779.0,5.0,4.0,9.0,17,3955.8,17998.89,Budget
Mesmeric Mount Abu Family Package,3 Days & 2 Nights,Mount Abu,3.0,Sightseeing Hill station Lakes Adventure Temples Nature Beautiful scenery Familylandscape Religious Budget,4945.0,3.0,2.0,9.0,12,1648.3333333333333,4499.95,Budget
Adventurous Summer Special Ladakh Honeymoon Package,5 Days & 4 Nights,Leh,2.0,Mountain  Desert Adventure Nature Road  Trip Romantic Khardung  La Budget,22221.0,5.0,4.0,10.0,10,4444.2,19998.9,Budget
Best 2 Days Ooty Tour Packages For A Bracing Escape In Nature,2 Days & 1 Nights,Ooty,3.0,Sightseeing Nature City  Tour Hill station Jungle  Safari Family Tea  Estate  Visits Budget,9384.0,2.0,1.0,9.0,13,4692.0,8539.44,Budget
Srinagar Sonmarg Pahalgam Gulmarg Tour Package,5 Days & 4 Nights,Srinagar,4.0,Lidder  River Nature Gondola  Ride Adventure Shikara  Ride Lakes Sightseeing Budget,32796.0,5.0,4.0,7.0,11,6559.2,30500.28,Luxury
Luxurious Honeymoon Trip To Manali,4 Days & 3 Nights,Manali,2.0,Adventure Nature Hill station Sightseeing Budget,9011.0,4.0,3.0,9.0,6,2252.75,8200.01,Budget
Ecstatic Shimla 4 Night 5 Day Tour Package,5 Days & 4 Nights,Shimla,3.0,Sightseeing Nature Overnight  Journey Wildlife Horse/ Yak ride Adventure Budget,14205.0,5.0,4.0,12.0,10,2841.0,12500.4,Budget
Best Selling Ladakh 4 Days Package For A Fun-Filled Holiday,4 Days & 3 Nights,Leh,3.0,Shanti  Stupa Hall of  Fame Magnetic  Hilllandscape Adventure Nature Hill station Budget,20429.0,4.0,3.0,7.0,12,5107.25,18998.969999999998,Budget
An Adventurous Family Trip To Jim Corbett National Park,2 Days & 1 Nights,Jim Corbett,4.0,Jungle  Safari Adventure Local sightseeing Wildlife Family Nature Sightseeing,7933.0,2.0,1.0,9.0,9,3966.5,7219.030000000001,Budget
Mesmerizing Getaway To Kochi,2 Days & 1 Nights,Kochi,3.0,Scenerylandscape Sightseeing Leisure  Time Nature Adventure Historical Budget,5275.0,2.0,1.0,9.0,8,2637.5,4800.25,Budget
Best-Ranked Gangtok Tour Package For 2 Days,2 Days & 1 Nights,Gangtok,3.0,Ganesh  Tok Nature Flower  Show Adventureshopping Budget,20619.0,2.0,1.0,7.0,7,10309.5,19175.67,Budget
Mesmerising Lansdowne Tour Package,3 Days & 2 Nights,Lansdowne,3.0,Sightseeing Adventure Nature Boating Hill station Religious Budget,17308.0,3.0,2.0,9.0,8,5769.333333333333,15750.28,Budget
Gangtok Family Package For 3 Days,3 Days & 2 Nights,Gangtok,2.0,Waterfalls Nature Lakes Adventure Sightseeing Family Budget,19163.0,3.0,2.0,6.0,7,6387.666666666667,18013.219999999998,Budget
Kerala Wayanad Weekend Holiday,3 Days & 2 Nights,Wayanad,3.0,Nature Waterfall Hills Weekend  Getaway Hill station Adventure Sightseeing Budget,8947.0,3.0,2.0,5.0,10,2982.3333333333335,8499.65,Budget
A Goa Tour Full of Fun n Frolic,4 Days & 3 Nights,Goa,3.0,Sightseeing Beach Leisure  Day Adventure Water  Activities Nightlifemuseums Budget,12637.0,4.0,3.0,9.0,9,3159.25,11499.67,Budget
Charming Kashmir Sightseeing Tour Package,8 Days & 7 Nights,Srinagar Pahalgam Gulmarg,2.0,Nature Adventure Hill station Lake Budget,32418.0,8.0,7.0,9.0,6,4052.25,29500.38,Luxury
Astonishing Pelling Honeymoon Package,3 Days & 2 Nights,Pelling,3.0,Ideal for couples Adventure Khecheopalri  Lake Religious Rimbi  Falls Nature Hill station Romantic Waterfall Budget,12086.0,3.0,2.0,8.0,15,4028.6666666666665,11119.12,Budget
Magical Manali Honeymoon Package For A Dreamy Getaway,3 Days & 2 Nights,Manali,2.0,Hills Adventure Rohtang  Pass Hill station Nature Nature walks Romantic Sightseeing Budget,9808.0,3.0,2.0,24.0,12,3269.3333333333335,7454.08,Budget
Amazing Andaman Tour Package,6 Days & 5 Nights,Port Blair Havelock Island Neil Island,3.0,Nature Water  Activities Radhanagar  Beach Cellular  Jail  Beach Light and  Sound  Show Port Budget,19216.0,6.0,5.0,5.0,14,3202.6666666666665,18255.2,Budget
Mahabaleshwar Package For 1 Night 2 Days With Amazing Travel Deals!,2 Days & 1 Nights,Mahabaleshwar,3.0,Sightseeing Adventure Temples Nature Local market Waterfall Budget,6769.0,2.0,1.0,9.0,8,3384.5,6159.79,Budget
"Gangtok, Lachung & Darjeeling Summer Special Tour: The North Eastern Bliss",7 Days & 6 Nights,Gangtok Lachen Lachung Darjeeling,3.0,Hot  Pick Adventure Pocket-friendly Nature Nature walks Hill station Sightseeing Ideal for friends Family Budget,67710.0,7.0,6.0,8.0,15,9672.857142857143,62293.200000000004,Luxury
Trip To Mesmerising Munnar,4 Days & 3 Nights,Munnar Alleppey,3.0,Scenic views Hill station Tea plantations Shopping Nature Waterfall Wildlife Budget,16484.0,4.0,3.0,9.0,11,4121.0,15000.44,Budget
Rajasthan Tour Package for 2 Nights & 3 Days,3 Days & 2 Nights,Udaipur,3.0,Lake Adventure Temple Historical Scenic  Beauty Lakes Budget,12903.0,3.0,2.0,7.0,8,4301.0,11999.789999999999,Budget
Best 2 Nights 3 Days Kodaikanal Tour Exclusive Package,3 Days & 2 Nights,Kodaikanal,3.0,Sightseeing Nature Lakeview Adventure Waterfalls Hill station Trekking Budget,13996.0,3.0,2.0,9.0,9,4665.333333333333,12736.36,Budget
"Exhilarating Gangtok, Kalimpong and Darjeeling Trip in Summer",6 Days & 5 Nights,Gangtok Kalimpong Darjeeling,2.0,Tsomgo  Lake Nature Baba  Mandir Adventure Dr  Grahamâs  Home Hill station Durpin  Dara Religious Triveni  Pointshopping Tea gardens Budget,33362.0,6.0,5.0,11.0,19,5560.333333333333,29692.18,Luxury
Ooty Package For 3 Days,3 Days & 2 Nights,Ooty,3.0,Tea  Factory Nature Coonoor Hill station Mysore  Palace Sightseeing Historical Budget,12637.0,3.0,2.0,9.0,11,4212.333333333333,11499.67,Budget
Marvelous Honeymoon Tour To Leh,5 Days & 4 Nights,Leh Nubra Valley Pangong,3.0,Monasteries Temple Nature Camping Hill station Historical Cultural Romantic Sightseeing Trekking Budget,25274.0,5.0,4.0,9.0,12,5054.8,22999.34,Budget
Exciting Rajasthan Tour Package,2 Days & 1 Nights,Ranthambore,3.0,Sightseeing Nature Wildlife safari Historical Adventure Tigers Wildlife Budget,4395.0,2.0,1.0,9.0,9,2197.5,3999.4500000000003,Budget
Check Out Our Top-rated Andaman Itinerary For 4 Days For A Soulful Vacay,4 Days & 3 Nights,Port Blair Havelock,3.0,Port  Blair Adventure Cellular  Jail Nature North  Bay island Water  Activities Baratang  Island Safari Sightseeing Budget,18462.0,4.0,3.0,9.0,16,4615.5,16800.420000000002,Budget
Goa Tour Package In Summer,4 Days & 3 Nights,Goa,3.0,Adventure Water  Activities Beach Budget,22580.0,4.0,3.0,7.0,5,5645.0,20999.399999999998,Budget
A Romantic Joyride With The Best Lonavala Honeymoon Package For 3 Days,3 Days & 2 Nights,Lonavala,3.0,Caves Hill station Hills Nature Lake Romantic Waterfall Budget,21153.0,3.0,2.0,9.0,9,7051.0,19249.23,Budget
Best-Selling Rishikesh Uttarakhand Tours For A Refreshing Getaway,2 Days & 1 Nights,Rishikesh,2.0,Hill station Adventure Nature Water  Activities Trekking Religious Budget,2750.0,2.0,1.0,9.0,9,1375.0,2502.5,Budget
Fascinating Manali Tour Package From Ahmedabad,4 Days & 3 Nights,Manali,3.0,Solang  Valley Nature Rohtang  Pass Water  Activities Shopping Adventure Hill station Paragliding Budget,10989.0,4.0,3.0,9.0,13,2747.25,9999.99,Budget
Resounding Rajasthan Family Package,3 Days & 2 Nights,Jaisalmer,3.0,Gadisar  Lake Nature Camel  Safari Historical Bada  Bagh Family Camping Cultural Budget,8240.0,3.0,2.0,9.0,12,2746.6666666666665,7498.400000000001,Budget
Catch The Beauty Of The Setting Sun In Alleppey,2 Days & 1 Nights,Alleppey,3.0,Cruise along the backwaters  Adventure Leisure  Day Cruises Houseboat  Stay Sightseeing Budget,5495.0,2.0,1.0,9.0,12,2747.5,5000.45,Budget
1 Night 2 Days Romantic Ooty Getaway For An Unforgettable Experience,2 Days & 1 Nights,Ooty,3.0,Tea gardens Adventure Doddabetta  Peak Nature Mudumalai  National  Park Hill stationlandscape Waterfall Budget,9890.0,2.0,1.0,9.0,13,4945.0,8999.9,Budget
Adventure Packed Rishikesh Tour Package,2 Days & 1 Nights,Rishikesh,3.0,Adventure  Activities Adventure Camping Water  Activities Himalayas Nature Sightseeing Budget,4395.0,2.0,1.0,9.0,10,2197.5,3999.4500000000003,Budget
Best Selling Ooty Mysore Tour Packages for a Relaxing Holiday,4 Days & 3 Nights,Ooty,3.0,Mysore  Palace Group package Tea  Estate Sightseeing Nature Religious Budget,16541.0,4.0,3.0,12.0,10,4135.25,14556.08,Budget
Lovely North East Family Package,5 Days & 4 Nights,Shillong Guwahati,2.0,Umiam  Lake Cruises  Mawlynnong  Village Religious Seven  Sister  Water  Falls Nature Mawsmai  Caves Family Maa  Kamakhya  Temple Waterfallshopping Budget,18131.0,5.0,4.0,9.0,19,3626.2,16499.21,Budget
Charming Alleppey Honeymoon Package,3 Days & 2 Nights,Alleppey,3.0,Alleppey Hill station Beaches Cruises Backwaters Nature Houseboat Romantic Sightseeing Budget,8615.0,3.0,2.0,9.0,11,2871.6666666666665,7839.650000000001,Budget
Best Selling Leh Ladakh 6 Nights 7 Days Package,7 Days & 6 Nights,Srinagar Kargil Leh Nubra Valley,3.0,Nature Himalayas Adventure Road  Trip Sightseeing Hot  Pick Luxury Budget,42352.0,7.0,6.0,6.0,10,6050.285714285715,39810.88,Luxury
Splendid Jaisalmer Tour Package,3 Days & 2 Nights,Jaisalmer,3.0,Sightseeing Historical Adventurelandscape Sand  Dunes Budget,8152.0,3.0,2.0,8.0,6,2717.3333333333335,7499.84,Budget
A Blissful Tour In Munnar,3 Days & 2 Nights,Munnar,3.0,Sightseeing Hill station Adventure  Activities Adventure Photo  Point Nature Water  Activities Budget,6593.0,3.0,2.0,9.0,12,2197.6666666666665,5999.63,Budget
"Goa Is All About Sand, Sun, And Sea",3 Days & 2 Nights,Goa,3.0,Sightseeing Nature Fort  Aguada Adventure Calangute  Beach Water  Activities Anjuna  Beach Historical Scuba  Diving Snorkeling Budget,7692.0,3.0,2.0,9.0,16,2564.0,6999.72,Budget
Best-Selling Goa Trip Package For Friends,4 Days & 3 Nights,Goa,3.0,Adventure Nature Water  Activities Paraglidingskiing Budget,10869.0,4.0,3.0,8.0,6,2717.25,9999.48,Budget
Glorious Goa Tour Package,3 Days & 2 Nights,Calangute,3.0,Calangute  Beach Cruises Fort  Aguada Historical Shri  Manguesh  Temple Nature River  Cruise Beach Nightlife,7608.0,3.0,2.0,8.0,14,2536.0,6999.360000000001,Budget
Splendid Himachal Honeymoon Package,4 Days & 3 Nights,Manali,2.0,Temples Religious Hot  Springs Wildlife Himalayas Adventure Road  Trip Romantic Sightseeing Budget,9091.0,4.0,3.0,12.0,12,2272.75,8000.08,Budget
Stimulating Rajasthan Tour Package,4 Days & 3 Nights,Ranthambore Pushkar,3.0,Ranthambore  National  Park Wildlife Pushkar  Brahma  Temple Adventure Jungle  Safari Religious Ajmer-e- Sharief  Dargah Safari Sightseeing Budget,9090.0,4.0,3.0,12.0,17,2272.5,7999.2,Budget
Fantastic Summer Special Trip To Manali,4 Days & 3 Nights,Manali,3.0,Sightseeing Nature Adventure Hill station Skiing Romantic Budget,13187.0,4.0,3.0,9.0,8,3296.75,12000.17,Budget
Astounding Kasol Tour Packages,4 Days & 3 Nights,Kasol Kheerganga,3.0,Kasol  Trip Adventure Beach Kheerganga top Manikaran  Gurudwara Cultural Budget,17778.0,4.0,3.0,10.0,10,4444.5,16000.2,Budget
Explore The Himalayan Highlands Of Manali With Our Family Package,4 Days & 3 Nights,Manali,4.0,Himalayas Adventure Sightseeing Hill station Nature Religious Temples Family Budget,14286.0,4.0,3.0,9.0,10,3571.5,13000.26,Budget
"Exploring Godâs Own Country, Kerala",3 Days & 2 Nights,Munnar Alleppey,3.0,Adventure Sightseeing Nature Hill station Houseboat  Stay Cruises Trekking Cultural Romantic Budget,10102.0,3.0,2.0,10.0,12,3367.3333333333335,9091.800000000001,Budget
Magnificent Leh Sightseeing Tour Packages,6 Days & 5 Nights,Leh Nubra Valley,3.0,Shanti  Stupa Adventure Tibetan  Monasteries Nature Chang  La Hill station Religious Historical Sightseeing Budget,26373.0,6.0,5.0,9.0,14,4395.5,23999.43,Budget
